state,week,diff
washington,Week 3,7.0
washington,Week 4,3.0
washington,Week 5,2.0
washington,Week 6,-1.0
washington,Week 7,-3.0
washington,Week 41,0.0
washington,Week 42,0.0
washington,Week 43,0.0
washington,Week 44,0.0
washington,Week 45,0.0
washington,Week 46,0.0
washington,Week 47,0.0
washington,Week 48,0.0
washington,Week 49,0.0
washington,Week 50,0.0
washington,Week 51,2.0
washington,Week 52,4.0
west virginia,Week 1,0.0
west virginia,Week 2,0.0
west virginia,Week 3,3.0
west virginia,Week 4,2.0
west virginia,Week 5,3.0
west virginia,Week 6,2.0
west virginia,Week 7,4.0
west virginia,Week 41,0.0
west virginia,Week 42,0.0
west virginia,Week 43,0.0
west virginia,Week 44,0.0
west virginia,Week 45,0.0
west virginia,Week 46,0.0
west virginia,Week 47,0.0
west virginia,Week 48,0.0
west virginia,Week 49,0.0
west virginia,Week 50,0.0
west virginia,Week 51,0.0
west virginia,Week 52,1.0
wisconsin,Week 1,0.0
wisconsin,Week 2,0.0
wisconsin,Week 3,1.0
wisconsin,Week 4,2.0
wisconsin,Week 5,4.0
wisconsin,Week 6,5.0
wisconsin,Week 7,4.0
wisconsin,Week 41,0.0
wisconsin,Week 42,0.0
wisconsin,Week 43,0.0
wisconsin,Week 44,0.0
wisconsin,Week 45,0.0
wisconsin,Week 46,0.0
wisconsin,Week 47,0.0
wisconsin,Week 48,0.0
wisconsin,Week 49,0.0
wisconsin,Week 50,0.0
wisconsin,Week 51,1.0
wisconsin,Week 52,1.0
wyoming,Week 1,1.0
wyoming,Week 2,6.0
wyoming,Week 3,4.0
wyoming,Week 4,6.0
wyoming,Week 5,9.0
wyoming,Week 6,8.0
wyoming,Week 7,6.0
wyoming,Week 41,0.0
wyoming,Week 42,0.0
wyoming,Week 43,0.0
wyoming,Week 44,0.0
wyoming,Week 45,0.0
wyoming,Week 46,0.0
wyoming,Week 47,0.0
wyoming,Week 48,0.0
wyoming,Week 49,0.0
wyoming,Week 50,0.0
wyoming,Week 51,1.0
wyoming,Week 52,0.0
